TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster
-0.9712754695068417,2023-04-11 16:29:14,Debit,San Diego,ATM,70,Doctor,-0.5524432626288956,1,-0.000536635052410607,2024-11-04 08:08:08,0.0
0.2694396064236744,2023-06-27 16:44:19,Debit,Houston,ATM,68,Doctor,0.30531436617680696,1,2.2164715868484435,2024-11-04 08:09:35,0.0
-0.5868816229808057,2023-07-10 18:16:08,Debit,Mesa,Online,19,Student,-0.9098422746312717,1,-1.0235341282270716,2024-11-04 08:07:04,1.0
-0.38745590278222686,2023-05-05 16:32:11,Debit,Raleigh,Online,26,Student,-1.353017049514218,1,0.8857974429054191,2024-11-04 08:09:06,1.0
-0.9734680903782914,2023-10-16 17:51:24,Credit,Atlanta,Online,26,Student,1.1201841135422244,1,0.5935893646592064,2024-11-04 08:06:39,1.0
-0.7038442425922038,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18,Student,0.7484891410597533,1,-1.1108816933044958,2024-11-04 08:06:36,1.0
-0.9952915199894398,2023-02-15 16:36:48,Credit,Seattle,ATM,37,Doctor,0.2767224452166169,1,2.103091796208713,2024-11-04 08:10:09,1.0
-0.43226759184248137,2023-05-08 17:47:59,Credit,Indianapolis,Branch,67,Retired,2.449708438191063,1,-0.5943498275623533,2024-11-04 08:10:55,0.0
-0.6556065834203091,2023-03-21 16:59:46,Credit,Detroit,Branch,51,Engineer,-0.4809634602284204,1,1.0206840106570008,2024-11-04 08:11:14,0.0
1.7759071839141245,2023-03-31 16:06:57,Debit,Nashville,ATM,55,Doctor,0.005099196094811046,1,-1.049294570483005,2024-11-04 08:06:32,0.0
-0.958633639794889,2023-03-14 16:46:10,Credit,Albuquerque,Online,52,Engineer,-0.8669543931909865,1,0.6372080213386072,2024-11-04 08:06:45,0.0
-0.3685445477659726,2023-02-06 17:30:00,Debit,Memphis,Online,21,Student,0.7627851015398482,1,-0.9193180502003306,2024-11-04 08:07:12,1.0
0.674663351228483,2023-06-07 17:21:28,Credit,Mesa,Branch,24,Student,-0.12356444822604433,1,-0.895931865884976,2024-11-04 08:08:38,1.0
1.658739006096028,2023-11-20 16:39:15,Debit,Memphis,ATM,26,Student,0.04798707753509617,1,-1.2626675419268705,2024-11-04 08:07:06,1.0
-0.4474446394370476,2023-02-13 16:53:57,Debit,Louisville,Online,18,Student,0.20524264281614163,1,-1.2344020780640845,2024-11-04 08:10:09,1.0
0.575070400083101,2023-12-12 16:23:31,Debit,Denver,ATM,36,Engineer,0.13376284041566644,1,-0.4227417455289484,2024-11-04 08:12:19,1.0
0.8846067996697973,2023-10-30 16:52:49,Credit,Austin,Branch,19,Student,0.5483456943384226,1,-1.021249610057465,2024-11-04 08:07:35,1.0
0.669216058750975,2023-12-14 18:32:14,Debit,Columbus,Online,39,Engineer,1.6348386908256458,1,-0.0011109695866326143,2024-11-04 08:11:51,1.0
-0.9555502666944129,2023-02-21 16:56:50,Credit,Albuquerque,Branch,59,Retired,-0.19504425062651956,1,0.7266529330633243,2024-11-04 08:12:01,0.0
-0.7746590447998077,2023-06-08 18:18:50,Credit,Columbus,Online,18,Student,0.7056012596194681,1,0.3728782439432717,2024-11-04 08:09:20,1.0
-0.8163188413573532,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71,Retired,-1.1671695632729824,1,0.1632204990176552,2024-11-04 08:09:24,0.0
-0.7257019319044686,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38,Doctor,-0.38089173686775507,1,1.0337731972516602,2024-11-04 08:08:13,1.0
-0.8407117485522317,2023-06-06 18:54:15,Debit,Atlanta,Online,39,Engineer,0.005099196094811046,1,0.9898622453182356,2024-11-04 08:07:01,1.0
0.16529011502981078,2023-05-02 18:25:46,Debit,Fort Worth,Online,22,Student,0.319610326656902,3,-0.9517038515474685,2024-11-04 08:07:04,1.0
-0.5209316983317309,2023-03-02 16:43:56,Debit,Raleigh,Online,21,Student,-0.33800385542746997,1,-0.8162070533532758,2024-11-04 08:07:09,1.0
-0.9938868722436672,2023-10-20 17:53:13,Credit,Houston,Online,65,Retired,2.2352690309896377,1,-0.37937692420172625,2024-11-04 08:09:44,0.0
-0.1735725887125261,2023-04-17 16:37:01,Debit,Miami,ATM,23,Student,0.5483456943384226,5,-1.138657434417119,2024-11-04 08:11:38,1.0
-0.8814122734785179,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37,Engineer,-0.35229981590756504,1,-0.6224819637654089,2024-11-04 08:11:59,1.0
-0.5829074976513031,2023-01-24 16:18:32,Debit,Las Vegas,Online,44,Doctor,1.1058881530621294,1,-0.8569489093746535,2024-11-04 08:11:22,1.0
-0.82711064720902,2023-09-20 16:55:42,Debit,Detroit,Branch,27,Student,2.335340754350303,1,-0.9647315022991751,2024-11-04 08:08:30,1.0
-0.9225581745193173,2023-07-17 17:49:22,Credit,Miami,Online,59,Doctor,-1.4244968519146932,1,0.8256487204129397,2024-11-04 08:09:17,0.0
-0.8170040353796812,2023-02-06 16:24:24,Debit,Baltimore,ATM,29,Doctor,1.963645781867832,1,1.2074709339519887,2024-11-04 08:06:58,1.0
0.33867846237992383,2023-09-25 16:26:00,Debit,New York,ATM,49,Engineer,0.6913052991393731,3,1.1732441853031925,2024-11-04 08:11:13,0.0
1.9878034353190734,2023-03-13 17:23:24,Debit,Los Angeles,Online,22,Student,0.4339780104976623,1,-1.2090005948920401,2024-11-04 08:07:50,1.0
-0.1450342576825629,2023-10-27 16:42:49,Credit,San Francisco,Branch,45,Doctor,-0.995618037511842,1,2.487475439210654,2024-11-04 08:10:51,0.0
-0.5921233572516154,2023-10-16 16:32:56,Debit,Seattle,Branch,49,Engineer,-1.0670978399123172,1,0.16676650196778517,2024-11-04 08:06:23,0.0
-0.7518763435574001,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26,Student,0.3624982080971871,1,-1.0803881191281433,2024-11-04 08:12:18,1.0
1.204866485705928,2023-03-02 17:53:32,Debit,San Jose,ATM,75,Retired,0.24813052425642676,1,-0.0611366203932074,2024-11-04 08:11:15,0.0
1.7051609011087532,2023-10-12 17:07:40,Debit,Mesa,ATM,66,Doctor,-0.42377961830804023,2,0.7180661189780133,2024-11-04 08:11:17,0.0
0.1303109601899639,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55,Retired,1.3775114021839352,1,-1.0499330048536357,2024-11-04 08:07:32,0.0
0.10578101419061983,2023-07-31 18:39:50,Debit,San Antonio,ATM,63,Retired,-0.009196764385283997,1,-0.2027203390527713,2024-11-04 08:07:31,0.0
-0.9029958851818515,2023-01-09 16:13:21,Debit,Philadelphia,Online,38,Doctor,-1.4387928123947882,1,2.3332794367393115,2024-11-04 08:11:45,1.0
-0.19244968402766394,2023-04-20 18:57:43,Credit,Charlotte,Online,57,Doctor,-0.052084645825569126,1,2.113427253831254,2024-11-04 08:09:03,0.0
-0.8300227218039142,2023-04-12 16:03:37,Debit,Tucson,ATM,19,Student,-0.03778868534547408,1,-1.2493091360192947,2024-11-04 08:08:03,1.0
0.023009576293391343,2023-07-26 16:52:28,Debit,Louisville,Branch,27,Student,-1.2386493656734576,1,-1.0885928981884585,2024-11-04 08:09:53,1.0
0.47167462211379824,2023-10-04 17:49:29,Debit,Chicago,Branch,74,Retired,-0.42377961830804023,1,-0.11307799983191522,2024-11-04 08:11:12,0.0
-0.4560095647161482,2023-12-13 16:01:38,Debit,Baltimore,Branch,26,Student,-0.6382190255094659,1,-0.9243280934140357,2024-11-04 08:10:33,1.0
0.7285196013834677,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19,Student,-0.20934021110661458,1,-1.1108765653175832,2024-11-04 08:11:35,1.0
1.128193274607419,2023-11-27 16:45:57,Debit,Denver,Online,26,Student,0.2624264847365218,1,-1.243227343540836,2024-11-04 08:07:24,1.0
-0.9441417862226509,2023-03-27 16:45:18,Credit,Sacramento,Online,41,Engineer,0.7913770225000384,1,-0.9689877314367137,2024-11-04 08:06:31,1.0
0.43765473890521056,2023-02-13 16:59:39,Credit,Kansas City,Online,69,Retired,0.019395156574906088,1,-0.30941323475834487,2024-11-04 08:07:07,0.0
0.43498248221813124,2023-02-21 17:45:55,Debit,Omaha,Online,51,Engineer,2.0637175052284973,1,0.017831814068870102,2024-11-04 08:09:02,0.0
-0.7268667617424263,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67,Doctor,0.3624982080971871,1,2.5103026729525246,2024-11-04 08:06:45,0.0
-0.4388454544568306,2023-09-07 16:51:27,Debit,San Diego,Branch,28,Student,0.319610326656902,1,-1.0757037030833945,2024-11-04 08:08:58,1.0
-0.6610881355989335,2023-03-29 17:47:16,Debit,Omaha,ATM,62,Retired,-0.42377961830804023,1,-0.1632040719035283,2024-11-04 08:10:42,0.0
0.06631383850452403,2023-08-04 17:53:40,Debit,Mesa,Branch,25,Student,-0.5238513416687055,1,-0.9718235081994352,2024-11-04 08:09:15,1.0
-0.8121391578211521,2023-12-14 17:52:37,Credit,Columbus,Branch,57,Retired,-0.9670261165516518,1,-0.40495019493534623,2024-11-04 08:09:57,0.0
-0.017245572518381578,2023-03-03 17:37:41,Credit,Dallas,Branch,68,Retired,-0.8383624722307964,1,-0.12202890098802778,2024-11-04 08:07:49,0.0
0.3046585791713361,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48,Engineer,-1.3101291680739329,1,0.13238078572469533,2024-11-04 08:07:09,0.0
-0.6355989179683301,2023-10-02 16:35:22,Debit,Kansas City,Branch,23,Student,-0.9813220770317469,1,-1.0727756225562444,2024-11-04 08:11:37,1.0
0.9281851394898614,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46,Engineer,0.4625699314578524,1,0.09886939125022053,2024-11-04 08:06:25,0.0
-0.11512553860794346,2023-05-16 16:07:30,Debit,Dallas,Branch,79,Retired,1.5347669674649806,2,-0.2408315377879352,2024-11-04 08:11:03,0.0
0.17830880145404376,2023-11-07 16:48:23,Debit,Las Vegas,Online,48,Engineer,1.5204710069848855,1,0.3941670816113332,2024-11-04 08:08:09,0.0
